fecha,turno,employee_id,documento,moneda,importe,isla,autoriza
07/12/2018,1,3,193,S,550,3,si
07/12/2018,2,4,194,S,170,3,si
07/12/2018,2,4,195,S,200,3,
07/12/2018,2,4,196,S,290,3,
07/12/2018,2,4,197,S,200,3,
07/12/2018,2,4,198,S,200,3,
07/12/2018,2,4,199,S,150,3,
07/12/2018,2,4,200,S,150,3,
07/12/2018,2,4,201,S,150,3,
07/12/2018,2,4,202,S,200,3,
07/12/2018,2,4,203,S,150,3,
07/12/2018,2,4,204,S,100,3,
07/12/2018,3,7,205,S,400,3,c
07/12/2018,3,7,206,S,340,3,c
08/12/2018,1,4,207,S,200,3,
08/12/2018,1,4,208,S,300,3,
08/12/2018,1,4,209,S,200,3,
08/12/2018,1,4,210,S,300,3,
08/12/2018,1,4,211,S,200,3,
08/12/2018,1,4,212,S,200,3,
08/12/2018,1,4,213,S,200,3,
08/12/2018,1,4,214,S,300,3,
08/12/2018,1,4,215,S,260,3,
08/12/2018,1,4,216,S,245,3,
08/12/2018,2,3,217,S,350,3,si
08/12/2018,2,3,218,S,450,3,si
08/12/2018,2,3,219,S,490,3,si
08/12/2018,2,3,220,S,250,3,si
08/12/2018,2,3,221,S,300,3,si
08/12/2018,3,5,222,S,270,3,conforme
08/12/2018,3,5,223,S,260,3,conforme
09/12/2018,1,4,224,S,500,3,
09/12/2018,1,4,225,S,300,3,
09/12/2018,1,4,226,S,350,3,
09/12/2018,1,4,227,S,300,3,
09/12/2018,1,4,228,S,300,3,
09/12/2018,1,4,229,S,150,3,
09/12/2018,1,4,230,S,200,3,
09/12/2018,1,4,231,S,250,3,
09/12/2018,1,4,232,S,200,3,
09/12/2018,2,3,233,S,400,3,si
09/12/2018,2,3,234,S,500,3,si
09/12/2018,2,3,235,S,400,3,si
09/12/2018,2,3,236,S,300,3,si
09/12/2018,2,3,237,S,200,3,si
09/12/2018,3,6,238,S,100,3,si
09/12/2018,3,6,239,S,175,3,si
10/12/2018,1,4,240,S,500,3,
10/12/2018,1,4,241,S,360,3,
10/12/2018,1,4,242,S,250,3,
10/12/2018,1,4,243,S,250,3,
10/12/2018,1,4,244,S,300,3,
10/12/2018,2,2,245,S,250,3,
10/12/2018,2,2,246,S,260,3,
10/12/2018,2,2,247,S,300,3,
10/12/2018,2,2,248,S,250,3,
10/12/2018,2,2,249,S,200,3,
10/12/2018,2,2,250,S,300,3,
10/12/2018,2,2,251,S,250,3,
10/12/2018,3,3,252,S,15,3,si
10/12/2018,3,3,253,S,135,3,si
10/12/2018,3,3,254,S,347,3,si
11/12/2018,1,7,255,S,400,3,c
11/12/2018,1,1,256,S,400,3,C
11/12/2018,1,7,257,S,400,3,C
11/12/2018,1,7,258,S,550,3,C
11/12/2018,2,5,259,S,200,3,CONFORME
11/12/2018,2,5,260,S,300,3,CONFORME
11/12/2018,2,5,261,S,160,3,COMFORME
11/12/2018,2,5,262,S,330,3,CONFORME
11/12/2018,2,5,263,S,310,3,CONFORME
11/12/2018,2,5,264,S,240,3,CONFORME
11/12/2018,2,5,265,S,340,3,CONFORME
11/12/2018,3,3,266,S,140,3,SI
11/12/2018,3,3,267,S,200,3,SI
11/12/2018,3,3,268,S,100,3,SI
